title,author,lent_by,lent_since,lent_times,year,catalogued,location,excerpt
Spectacular Romance of the Unseen University,High Wizard of Unseen Breanna Barber,,,0,The 3rd year after Seamstress's Secrets,year -318 in the 2nd month,Dungeon Dimensions: bottom shelve. 9m from the start,Whole memory form might blue allow reduce everybody.
Perilous Journey of the Disc,Grandmaster of Guilds Jonathan Rice,,,9,The 12th year after Mended Drum,year 0552 in the 8th month,Restricted Section: bottom shelve. 10m from the end,Any past sing space beyond.
Glorious Conundrum of Magic,Supreme Archchancellor Samuel Weaver,,,0,The 13th year after Talking Dog,year 0179 in the 7th month,Great Hall: top shelve. 12m from the end,Employee voice laugh others fast.
Unbelievable Expedition of the Dungeon Dimensions,Senior Guildmaster Peter Becker,,,42,The 8th year after Seamstress's Guild,year 0118 in the 7th month,Restricted Section: top shelve. 5m from the start,Official trade student cost story standard family.
Amazing Lore of the Rincewind,Mastermagician William Poole,,,5,The 9th year after Octarine Sunset,year 0354 in the 7th month,Great Hall: bottom shelve. 2m from the end,After possible century.
Unimaginable Allegory of the Clacks,High Wizard of Unseen Jacob Nguyen,Roberta White,year 0421 in the 4th month,4,The 10th year after Imp-powered Devices,year 0722 in the 3rd month,Tower of Art: bottom shelve. 13m from the start,Take remember past customer.
Curious Expedition of the Nac Mac Feegle,Supreme Archchancellor Paul Gomez,Samantha Morgan,year -479 in the 8th month,0,The 8th year after Patrician's Eyebrow,year 0365 in the 7th month,Great Hall: bottom shelve. 7m from the start,Open item ago bag agent.
Bizarre Saga of Magic,Lead Alchemist Linda Thompson,Joseph Cunningham,year -324 in the 9th month,2,The year of Mended Drum,year 0183 in the 7th month,Mended Drum: bottom shelve. 9m from the end,Somebody western give quickly on finally.
Dreadful Recital of the Trolls,Chief Scrivener Chad Owen,Donald Clark,year -390 in the 12th month,2,The 1st year after Crystal Goblins,year 0171 in the 7th month,Mended Drum: middle shelve. 6m from the end,Center thought face I story huge field.
Bizarre Escapade of the Golems,Principal Witch Ryan Holland,Ana Ray,year 0249 in the 5th month,7,The 13th year after Howondaland Expedition,year 0941 in the 7th month,Great Hall: middle shelve. 15m from the start,Color candidate inside.
Eccentric Anecdote in Ankh-Morpork,Chief Scrivener Michael Schwartz,,,0,The 6th year after Squid,year -163 in the 10th month,Restricted Section: middle shelve. 1m from the start,Police picture arm understand style consider.
Bizarre Recital of the Lancre,Mastermagician Scott Cummings,,,7,The 5th year after Magic Bananas,year 0615 in the 4th month,Dungeon Dimensions: top shelve. 11m from the end,Challenge however parent talk series threat piece.
Ludicrous Lore of the Rincewind,Professor Victoria Peters,Ellen Henry,year -358 in the 7th month,3,The 6th year after Sentient Luggage,year 0395 in the 3rd month,Restricted Section: middle shelve. 4m from the start,Against north effort community against.
Phantasmal Yarn of the Librarian,Danny Acosta,,,3,The 8th year after Seamstress's Secrets,year 0695 in the 8th month,Dungeon Dimensions: middle shelve. 1m from the end,Message according beat put need structure art.
Puzzling Adventure of Magic,Mastermagician Scott Lam,Terry Austin,year 0312 in the 4th month,9,The year of Silver Horde,year 0471 in the 6th month,Restricted Section: top shelve. 14m from the start,Other pattern man light happen second represent.
Ludicrous Mystery of the Nac Mac Feegle,Foremost Patrician Joe Brock,Robert Schneider,year -417 in the 1st month,42,The 13th year after Klatchian Coffee,year 0438 in the 9th month,Restricted Section: middle shelve. 9m from the start,Within almost operation enter.
Bewildering Lore of the Disc,Aaron Peterson,,,9,The 8th year after Fruitbat,year 0349 in the 8th month,Dungeon Dimensions: middle shelve. 2m from the start,Cell short practice today perform everyone also.
Stupendous Fable of the Disc,Supreme Archchancellor Amanda Sawyer,,,1,The 8th year after Magic Bananas,year 0200 in the 9th month,Mended Drum: bottom shelve. 11m from the start,Argue join wife official foot.
Illustrious Romance of the Disc,Heather Norris,,,6,The 6th year after Invisible College,year 0087 in the 7th month,Great Hall: top shelve. 12m from the start,Car present with partner agency PM keep third.
Unbelievable Journey of the Clacks,Chief Scrivener Patrick Walsh,,,9,The 7th year after Fruitbat,year 0617 in the 5th month,Great Hall: middle shelve. 15m from the start,Live human figure national able.
Wondrous Adventure of the Lancre,Lead Alchemist Janet Rose,,,4,The 14th year after Guild Wars,year 0901 in the 7th month,Restricted Section: bottom shelve. 5m from the end,Wrong theory report nearly.
Wondrous Allegory of the Disc,Senior Guildmaster Sarah Yates,Thomas Baker,year -416 in the 7th month,6,The 2nd year after Klatchian Coffee,year -056 in the 8th month,Dungeon Dimensions: middle shelve. 14m from the end,Short small official maintain push with without hundred.
Mysterious Revelation of the Librarian,Eminent Thief Samantha Knight,,,0,The 6th year after Lancre Coven,year -288 in the 8th month,Great Hall: bottom shelve. 3m from the end,Number TV talk sit new indicate development election.
Glorious Mystery of the Rincewind,Chief Scrivener Nicole Morris,Melissa Hawkins,unknown,3,The 12th year after Luggage,year -331 in the 8th month,Tower of Art: bottom shelve. 2m from the start,Their set stuff goal election put.
Improbable Chronicle of the Death,Supreme Archchancellor Scott Young,Richard Rogers,year -392 in the 9th month,5,The 12th year after Prawn,year 0319 in the 7th month,Tower of Art: top shelve. 12m from the start,Lawyer owner save four agency kid.
Improbable Saga of the Hogfather,Alyssa Barry,Maria Miller,year -051 in the 1st month,6,The 10th year after Invisible College,year 0043 in the 7th month,Dungeon Dimensions: top shelve. 13m from the start,Soon standard house.
Dreadful Episode of the Wizards,Lead Alchemist Bruce Ward,Daniel Todd,unknown,0,The 1st year after Lancre Coven,year 0130 in the 4th month,Great Hall: bottom shelve. 6m from the start,Make quite result challenge compare better physical Republican.
Bizarre Expedition of the Counterweight Continent,Supreme Archchancellor Kelly Jones,Gregory George,year 0754 in the 7th month,42,The 2nd year after Bursar's Sanity,year 0926 in the 12th month,Great Hall: top shelve. 8m from the end,Six challenge American technology term guess power.
Spectacular Lore of the Lancre,Grandmaster of Guilds Charles Wolfe,Kelli Hancock,year 0020 in the 7th month,8,The 10th year after Amazing Maurice,year 0990 in the 6th month,Mended Drum: middle shelve. 13m from the end,Everyone car why.
Bewildering Exploit of the Patrician,Christina Burton,Sara Ho,year -463 in the 9th month,6,The 3rd year after Cabbage,year -418 in the 11th month,Restricted Section: middle shelve. 2m from the end,Address near base suffer hard.
Glorious Exploit of the Wizards,Grandmaster of Guilds Brittany Glover,Judy Johnson,year -374 in the 7th month,9,The 3rd year after Tin Trunk,year -269 in the 5th month,Great Hall: bottom shelve. 4m from the end,Because other four very positive.
Stupendous Exploit of the Unseen University,Senior Guildmaster Phillip Hart,,,3,The 8th year after Talking Dog,year 0420 in the 7th month,Tower of Art: middle shelve. 6m from the end,Tv fill ok name third father.
Unbelievable Legend of the Death,Principal Witch Kayla Wright,,,7,The 13th year after Knurd,year -465 in the 10th month,Dungeon Dimensions: top shelve. 1m from the end,Realize house local near.
Perilous Saga of the Disc,Foremost Patrician Taylor George,,,5,The 2nd year after Lancre Coven,year -156 in the 9th month,Great Hall: middle shelve. 14m from the start,Ask myself woman many level and.
Mysterious Anecdote of the Dungeon Dimensions,Chief Scrivener Madeline Murray,,,8,The 13th year after Prawn,year -486 in the 5th month,Mended Drum: top shelve. 14m from the end,When direction well great.
Perilous Fantasy of the Rincewind,Lead Alchemist Stacy Burns,Laura Perkins,year 0361 in the 8th month,4,The 1st year after Octarine Sunset,year 0576 in the 7th month,Great Hall: top shelve. 5m from the start,Always opportunity goal end phone range.
Improbable Narrative of the Wizards,Supreme Archchancellor Christy Hayes,Aaron Chang,year -367 in the 9th month,2,The 7th year after Guild Wars,year -272 in the 7th month,Dungeon Dimensions: middle shelve. 3m from the end,Continue and recent nature give understand authority.
Spectacular Romance of the Patrician,Imperial Assassin Emily Hernandez,Michael Rodgers,year 0205 in the 7th month,8,The 5th year after Golem Uprising,year 0244 in the 7th month,Great Hall: bottom shelve. 8m from the start,Group yeah mind serious.
Ludicrous Odyssey of the City Watch,Imperial Assassin Derek Jones,Timothy Flores,year -156 in the 12th month,4,The 5th year after Quantum Weather Butterflies,year 0029 in the 3rd month,Dungeon Dimensions: bottom shelve. 14m from the end,Support white usually resource treatment history.
Stupendous Recital of the Unseen University,Holly Marquez,Aaron Murphy,year 0277 in the 6th month,9,The 14th year after Turtle Moves,year 0921 in the 3rd month,Dungeon Dimensions: middle shelve. 4m from the end,Matter region use recently color range policy social.
Astounding Adventure of the Clacks,Supreme Archchancellor Adam Buck,Teresa Garcia,year -459 in the 6th month,3,The 3rd year after Crystal Goblins,year 0820 in the 7th month,Great Hall: bottom shelve. 8m from the end,Voice of large notice red floor.
Glorious Adventure of the Clacks,Jeffrey Murray,Kathleen Crosby,year -218 in the 10th month,1,The 5th year after Hedgehog,year 0045 in the 7th month,Great Hall: middle shelve. 5m from the start,Teacher hour late check discuss defense home.
Wondrous Saga of the Agatean Empire,Supreme Archchancellor Steven Zimmerman,Timothy Smith,year -389 in the 4th month,7,The 6th year after Hedgehog,year 0115 in the 3rd month,Restricted Section: top shelve. 13m from the end,Piece available ready federal.
Phantasmal Lore of the Rincewind,Principal Witch Nichole Smith,Heidi Andrews,year -149 in the 12th month,5,The 13th year after Patrician's Eyebrow,year 0031 in the 8th month,Mended Drum: middle shelve. 13m from the end,Public matter player line opportunity add.
Bewitching Saga of the Lancre,Principal Witch Colleen Lucas,Diana Harris,year -158 in the 7th month,2,The year of Mended Drum,unknown,Great Hall: bottom shelve. 6m from the end,Yard success truth sort.
Dreadful Journey of the Golems,Imperial Assassin Melissa Brown,,,4,The 13th year after Fruitbat,year -030 in the 3rd month,Restricted Section: bottom shelve. 5m from the end,Space little story wear suddenly.
Illustrious Fantasy of the City Watch,Senior Guildmaster Karina Robertson,,,5,The 14th year after Cabbage,year -175 in the 7th month,Tower of Art: middle shelve. 6m from the end,Ground develop score enjoy.
Incredible Fantasy of the Wizards,Heidi Gilmore,,,3,The 11th year after Howondaland Expedition,year 0345 in the 9th month,Mended Drum: top shelve. 5m from the end,Now second your green.
Dreadful Expedition of the Counterweight Continent,Supreme Archchancellor Kimberly Murray,Candice Hale,year -435 in the 5th month,1,The 10th year after Silver Horde,year 0245 in the 7th month,Mended Drum: bottom shelve. 1m from the start,Different action hair child town hair.
Fantastical Saga of the Lancre,Grandmaster of Guilds Joyce Maddox,,,9,The 10th year after Sentient Luggage,year 0671 in the 7th month,Tower of Art: top shelve. 2m from the start,Black list student sense single institution.
Phantasmal Chronicle of the Disc,Foremost Patrician Jonathan Smith,,,1,The year of Squid,year 0102 in the 1st month,Great Hall: top shelve. 3m from the start,Perhaps president something military.
Bewildering Illusion of the Dungeon Dimensions,Brian Lopez,John Bond,year 0007 in the 3rd month,5,The 8th year after Amazing Maurice,year 0128 in the 7th month,Mended Drum: bottom shelve. 1m from the start,Relationship exactly give civil there.
Spectacular Escapade of the Librarian,Chief Scrivener Alexander Davis,,,1,The 4th year after Hogswatch Miracle,year -452 in the 3rd month,Restricted Section: middle shelve. 12m from the start,Industry newspaper majority year.
Ridiculous Escapade of the Wizards,Eminent Thief Kimberly Mendoza,Dr. John Manning MD,year 0415 in the 7th month,6,The 5th year after Wizzard's Hat,year 0549 in the 2nd month,Great Hall: middle shelve. 11m from the end,Add natural chair kind.
Bizarre Epic of the Dungeon Dimensions,Principal Witch Shannon Stone,Thomas Mckee,year 0465 in the 5th month,2,The 13th year after Imp-powered Devices,year 0524 in the 7th month,Great Hall: top shelve. 3m from the start,Without early focus family do human it.
Stupendous Quest of the Unseen University,Steve Collins,,,3,The 4th year after Invisible College,year 0504 in the 6th month,Restricted Section: middle shelve. 2m from the start,Power together leader order fear.
Stupendous Journey of the Wizards,Susan Pierce,,,9,The 6th year after Howondaland Expedition,unknown,Restricted Section: bottom shelve. 4m from the end,Weight artist medical Mrs.
Mysterious Chronicle of the Agatean Empire,Principal Witch Samantha Foley DDS,,,6,The 6th year after Imp-powered Devices,year -103 in the 2nd month,Mended Drum: top shelve. 14m from the start,Total big movie each act character different.
Puzzling Adventure of the Trolls,Principal Witch Mason Gallegos,Robin Miller,year -033 in the 7th month,1,The 8th year after Turtle Moves,year 0344 in the 7th month,Mended Drum: middle shelve. 15m from the end,Third probably what dark tonight leave.
Frightening Journey of the City Watch,Joshua Torres,,,0,The 1st year after Sentient Luggage,year 0601 in the 6th month,Restricted Section: top shelve. 5m from the start,Notice with begin effort short tough.
Bizarre Myth of the Nac Mac Feegle,Mastermagician Jessica Dickson,Dave Dalton,year -280 in the 8th month,2,The 2nd year after Turtle Moves,year -205 in the 11th month,Great Hall: top shelve. 8m from the end,Cover this inside court indicate job major.
Frightening Quest of the Death,Samuel Robertson,Amy Smith,year 0827 in the 7th month,6,The year of Amazing Maurice,year 0829 in the 7th month,Restricted Section: top shelve. 14m from the start,Walk feel make everybody institution call rate usually.
Ludicrous Epic of the Counterweight Continent,Foremost Patrician Charles Norton,,,1,The year of Prawn,year 0977 in the 9th month,Restricted Section: middle shelve. 8m from the start,Describe study picture save however.
Bewitching Lore of the Librarian,Supreme Archchancellor Anthony Moore,Brenda Bolton,unknown,5,The 14th year after Magic Bananas,unknown,Mended Drum: bottom shelve. 13m from the start,However on whose same church short tree.
Ludicrous Exploit of the Golems,High Wizard of Unseen Rebecca Kim,,,6,The 4th year after Opera House Ghost,year -272 in the 9th month,Tower of Art: middle shelve. 9m from the start,Opportunity sit computer anything when after.
Dreadful Yarn of the Clacks,William Abbott,Samuel Osborne,unknown,2,The 2nd year after Assassin's Guild,year 0693 in the 8th month,Mended Drum: top shelve. 5m from the start,Later theory specific speak source huge.
Mysterious Allegory of the Lancre,Melanie Wiggins,Elizabeth Perry,year 0713 in the 3rd month,0,The 1st year after Klatchian Coffee,year 0891 in the 7th month,Dungeon Dimensions: bottom shelve. 6m from the start,However radio model husband peace right.
Spectacular Lore of the Librarian,High Wizard of Unseen Gabriel Mitchell,,,8,The 12th year after Fruitbat,unknown,Restricted Section: middle shelve. 13m from the start,Single part age everyone enjoy.
Comical Exploit of the Nac Mac Feegle,Chief Scrivener Jason Morris,Michele Smith,year -476 in the 4th month,42,The 9th year after Librarian's Wrath,year -428 in the 10th month,Great Hall: bottom shelve. 8m from the start,Concern short suggest.
Ridiculous Narrative in Ankh-Morpork,Professor Sarah Jones,,,5,The 9th year after Cabbage,year 0467 in the 7th month,Dungeon Dimensions: bottom shelve. 13m from the start,Partner specific fast collection.
Enigmatic Quest of the Death,Eminent Thief Kyle Valenzuela,Kevin Parks,year 0400 in the 11th month,6,The 11th year after Prawn,year 0785 in the 7th month,Mended Drum: middle shelve. 7m from the start,Institution end development.
Bizarre Revelation of the Patrician,Lead Alchemist Joyce Griffith,Mr. Hector Smith,year 0074 in the 11th month,42,The 7th year after Octarine Sunset,year 0388 in the 6th month,Great Hall: middle shelve. 7m from the end,Conference consumer here office cultural.
Eccentric Adventure in Ankh-Morpork,Supreme Archchancellor Andrew Waller,,,7,The 14th year after Cabbage,unknown,Dungeon Dimensions: top shelve. 12m from the start,Parent war return chair toward.
Enchanted Parable in Ankh-Morpork,Supreme Archchancellor Angela Bowen,,,42,The 5th year after Sentient Luggage,year 0055 in the 7th month,Tower of Art: top shelve. 4m from the end,Perform series hospital.
Incredible Saga of the Patrician,Lead Alchemist Joshua Guerrero,Jay Price,year -121 in the 7th month,9,The 1st year after Talking Dog,year -036 in the 8th month,Tower of Art: top shelve. 10m from the start,Third or ever apply reflect improve quickly.
Amazing Revelation of the Trolls,Mastermagician Gregory Acosta,Brooke Jones,year -397 in the 7th month,5,The 2nd year after Silver Horde,year 0822 in the 7th month,Great Hall: middle shelve. 14m from the start,Since include senior there cause.
Bewildering Conundrum of Magic,Imperial Assassin Caitlin George,Andrew Dean,year -445 in the 9th month,1,The 11th year after Sentient Luggage,year 0368 in the 7th month,Mended Drum: middle shelve. 6m from the start,Arm recently join.
Majestic Saga of the Hogfather,Senior Guildmaster Rhonda Cannon,,,2,The 10th year after Patrician's Eyebrow,year -018 in the 12th month,Restricted Section: bottom shelve. 13m from the end,Become radio development meet blue structure side ready.
Fantastical Saga of the City Watch,Professor Andrea Vazquez,Cindy Garrett,year -287 in the 5th month,2,The 7th year after Mended Drum,year 0108 in the 10th month,Mended Drum: top shelve. 13m from the end,Think campaign any half.
Enchanted Legend of the Agatean Empire,Mastermagician Natasha Anderson,Russell Rogers,year -319 in the 10th month,2,The 14th year after Patrician's Eyebrow,unknown,Great Hall: top shelve. 14m from the start,Defense area talk religious detail.
Fantastical Saga of the Patrician,Imperial Assassin Nicholas Harrington,James Walters,year -082 in the 1st month,2,The 13th year after Cabbage,year 0128 in the 7th month,Great Hall: middle shelve. 3m from the end,Manage stuff have.
Fantastical Conundrum of the Dungeon Dimensions,High Wizard of Unseen Annette Little,,,6,The 1st year after Squid,year 0414 in the 10th month,Dungeon Dimensions: middle shelve. 7m from the end,Either watch fund.
Ridiculous Episode of the Unseen University,Denise Johnson,Daniel Watson,year -441 in the 11th month,5,The 4th year after Knurd,year -303 in the 10th month,Restricted Section: top shelve. 9m from the start,Would our long ok look through or exactly.
Frightening Parable of the Rincewind,Senior Guildmaster Theresa Carter,Clifford Zhang,year -371 in the 5th month,3,The 1st year after Seamstress's Guild,year 0335 in the 7th month,Dungeon Dimensions: bottom shelve. 12m from the end,Travel different coach not edge name.
Majestic Parable of the Unseen University,Lead Alchemist Sean Ryan,,,3,The 2nd year after Mended Drum,year 0063 in the 7th month,Tower of Art: bottom shelve. 15m from the start,Enough top remember worker arm.
Glorious Adventure of the Clacks,Principal Witch Anthony Davis,,,5,The 1st year after Guild Wars,year -374 in the 5th month,Restricted Section: top shelve. 10m from the start,Card computer third seem despite occur take.
Curious Furlough of the Witches,Senior Guildmaster Douglas Diaz,,,6,The 13th year after Topsy-Turvy Times,year 0436 in the 6th month,Dungeon Dimensions: top shelve. 11m from the end,Court it detail will floor consumer save return.
Bizarre Journey of Magic,Supreme Archchancellor Kristen Burns,Megan Erickson,year -483 in the 11th month,9,The 2nd year after Bursar's Sanity,year -477 in the 5th month,Tower of Art: bottom shelve. 8m from the start,Or century seven everyone.
Peculiar Journey of the Agatean Empire,Chief Scrivener Danielle Warren,Mr. Noah Smith,year -254 in the 9th month,5,The 3rd year after Fruitbat,year -217 in the 7th month,Tower of Art: bottom shelve. 9m from the start,Key attention wind produce do watch.
Incredible Parable of the Rincewind,Supreme Archchancellor Tracy Gibson,,,42,The 8th year after Sentient Luggage,year -072 in the 7th month,Dungeon Dimensions: bottom shelve. 6m from the start,Current style alone memory receive from voice.
Fantastical Lore of the Counterweight Continent,Principal Witch Carlos Gordon,Lisa Farley,year -009 in the 4th month,5,The 6th year after Magic Bananas,year 0053 in the 2nd month,Restricted Section: bottom shelve. 10m from the end,Appear prove baby eight size.
Puzzling Epic of the Witches,Professor Christina Edwards,Claire Lewis,year 0274 in the 7th month,9,The 10th year after Klatchian Coffee,year 0415 in the 10th month,Dungeon Dimensions: bottom shelve. 14m from the start,Act begin project professor.
Spectacular Narrative in Ankh-Morpork,Senior Guildmaster Eric Cannon PhD,,,5,The 11th year after Prawn,year -075 in the 7th month,Restricted Section: middle shelve. 4m from the end,Key little yeah artist design trouble.
Curious Chronicle of the Agatean Empire,Mastermagician Robert Dunn,,,9,The 5th year after Imp-powered Devices,unknown,Tower of Art: top shelve. 14m from the start,Meet else cell year environmental win maybe enough.
Delightful Lore of the Rincewind,Eminent Thief Yvonne Kennedy,Peter Nelson,year -296 in the 10th month,8,The 13th year after Bursar's Sanity,year 0325 in the 7th month,Mended Drum: middle shelve. 8m from the start,Report affect former.
Glorious Legend of the Unseen University,Foremost Patrician Matthew Pierce,,,9,The 9th year after Talking Dog,year 0083 in the 8th month,Mended Drum: bottom shelve. 2m from the start,Small discussion least girl she write.
Enigmatic Saga of the Rincewind,Foremost Patrician Jacob Garcia,William Patterson,year -413 in the 7th month,42,The 7th year after Talking Dog,year -186 in the 2nd month,Mended Drum: top shelve. 11m from the start,Allow trade sport produce stuff positive leave develop.
Unbelievable Mystery of the Patrician,Professor Melissa Dominguez,,,1,The 8th year after Klatchian Coffee,year 0816 in the 3rd month,Tower of Art: bottom shelve. 10m from the start,Through street car send attention about exist.
Ridiculous Chronicle of the Disc,Mastermagician Ryan Smith,Jose Tate,year 0322 in the 12th month,7,The 12th year after Tin Trunk,year 0367 in the 2nd month,Great Hall: top shelve. 1m from the end,Speak against against alone place effect all.
Illustrious Conundrum of the Death,Chief Scrivener Melissa Johnson,Mrs. Valerie Adams,year -170 in the 3rd month,8,The 8th year after Imp-powered Devices,year 0247 in the 8th month,Restricted Section: top shelve. 8m from the start,I reveal politics where quickly debate prepare.
Enchanted Yarn of the Rincewind,Lead Alchemist Zachary Jones,,,1,The 12th year after Tin Trunk,year -180 in the 7th month,Tower of Art: top shelve. 6m from the end,Add window national condition.
Frightening Mystery of the Lancre,Senior Guildmaster Joan Garcia,Edwin Romero,year -172 in the 3rd month,9,The 9th year after Hedgehog,year 0185 in the 11th month,Mended Drum: top shelve. 5m from the end,Cell image reality member.
Fantastical Journey of the Clacks,Eminent Thief Lisa Hernandez,,,1,The 6th year after Imp-powered Devices,year 0304 in the 3rd month,Mended Drum: bottom shelve. 5m from the end,Wall soldier information direction election partner indicate time.
Fantastical Lore of the Dungeon Dimensions,Eminent Thief Carlos Martinez,,,42,The 9th year after Talking Dog,year 0743 in the 4th month,Great Hall: bottom shelve. 3m from the start,Edge answer international method various surface.
Bizarre Conundrum of the Hogfather,Senior Guildmaster Patricia Lewis,Karen Chan,year 0069 in the 1st month,5,The 13th year after Klatchian Coffee,year 0382 in the 4th month,Tower of Art: middle shelve. 8m from the start,Recently opportunity about else evidence get investment plant.
Eccentric Romance of Magic,Imperial Assassin Angela Smith,,,9,The 2nd year after Luggage,year 0911 in the 11th month,Dungeon Dimensions: middle shelve. 1m from the end,Difficult anyone skill.
Enigmatic Legend of the Hogfather,Grandmaster of Guilds Jenny Anderson,,,1,The 4th year after Topsy-Turvy Times,year 0963 in the 4th month,Dungeon Dimensions: middle shelve. 1m from the start,Wife the enjoy position final nation once.
Mysterious Expedition of the City Watch,Lead Alchemist Steven Mendoza,Justin Griffin,year 0111 in the 10th month,7,The 5th year after Octarine Sunset,year 0274 in the 7th month,Restricted Section: top shelve. 3m from the start,Material trial expect star member.
Frightening Journey of the Clacks,Senior Guildmaster Theresa Spears,,,42,The 10th year after Quantum Weather Butterflies,year 0402 in the 11th month,Mended Drum: middle shelve. 10m from the start,Minute off attack onto local.
Puzzling Adventure of the Golems,High Wizard of Unseen Jeffery Rogers,Crystal Cox,year -331 in the 7th month,7,The 6th year after Hedgehog,year 0760 in the 4th month,Tower of Art: top shelve. 5m from the start,Can until ball participant event.
Remarkable Furlough of the Disc,Principal Witch Lynn Werner,Matthew Mosley,year 0193 in the 3rd month,5,The 13th year after Fruitbat,year 0450 in the 5th month,Restricted Section: middle shelve. 4m from the end,Me actually stop less interest our various range.
Perilous Parable of the Hogfather,Grandmaster of Guilds Noah Jordan,,,1,The 10th year after Tin Trunk,year 0027 in the 5th month,Tower of Art: top shelve. 6m from the start,Fight plan step teacher.
Enigmatic Chronicle of the Patrician,Professor Rodney Herrera,,,3,The 2nd year after Guild Wars,year 0307 in the 2nd month,Restricted Section: bottom shelve. 15m from the start,Majority expert activity now character well mother.
Enchanted Romance of the Counterweight Continent,Eminent Thief Daniel Jones,Carrie Spencer,year 0670 in the 7th month,2,The 5th year after Hogswatch Miracle,year 0937 in the 4th month,Restricted Section: middle shelve. 3m from the start,Go body new support.
Amazing Furlough of the Patrician,Senior Guildmaster Brent Townsend,Heidi Foley,year -430 in the 10th month,2,The 3rd year after Silver Horde,year 0018 in the 6th month,Mended Drum: bottom shelve. 13m from the end,Music right population prepare little.
Bizarre Narrative of the Dungeon Dimensions,Imperial Assassin Ronald Turner,Karen Perez,year -269 in the 7th month,6,The 13th year after Amazing Maurice,year -065 in the 4th month,Great Hall: top shelve. 2m from the start,Night difficult next subject development.
Eccentric Quest of the Unseen University,Michael Powell,,,8,The 14th year after Silver Horde,year 0623 in the 8th month,Great Hall: top shelve. 1m from the end,Approach expect reflect black try however relationship pattern.
Wondrous Quest of the Clacks,Bradley Lozano,Sharon Smith,year -444 in the 7th month,7,The 6th year after Crystal Goblins,year -383 in the 7th month,Tower of Art: top shelve. 3m from the start,Expert mission certain attention Congress play that.
Bewildering Quest of the Nac Mac Feegle,Principal Witch Kimberly Smith,Brianna Smith,year -494 in the 3rd month,0,The 9th year after Howondaland Expedition,year 0947 in the 7th month,Great Hall: middle shelve. 14m from the start,More buy million political economic hard.
Amazing Romance of the Wizards,Mastermagician Jennifer Munoz,Mary Sanchez,year -412 in the 7th month,9,The 3rd year after Assassin's Guild,year -396 in the 12th month,Restricted Section: middle shelve. 1m from the start,Shake price recent chair health fund success.
Improbable Quest of the Trolls,Professor Samuel Lee,James Brown,year -001 in the 11th month,5,The 8th year after Topsy-Turvy Times,year 0545 in the 7th month,Tower of Art: top shelve. 5m from the end,Be its marriage market international as difficult character.
Ludicrous Epic of the Librarian,Mastermagician Amanda Wells,,,5,The 14th year after Octarine Sunset,year -183 in the 1st month,Dungeon Dimensions: middle shelve. 14m from the start,Part good push own firm beat member.
Unimaginable Epic of the Rincewind,Chief Scrivener Kevin Floyd,Deanna Cruz,year -212 in the 8th month,0,The 2nd year after Magic Bananas,year 0797 in the 10th month,Tower of Art: middle shelve. 12m from the end,Toward realize method try recognize.
Unbelievable Escapade of the Clacks,Supreme Archchancellor Sandra Lewis,,,1,The 10th year after Silver Horde,year 0015 in the 1st month,Tower of Art: bottom shelve. 12m from the start,Reason they hope pressure.
Comical Illusion of Magic,Professor Angela Young,,,5,The 8th year after Crystal Goblins,year -049 in the 3rd month,Tower of Art: bottom shelve. 9m from the start,Religious where practice subject professor.
Remarkable Saga of the Patrician,Foremost Patrician Howard Myers,Charles Ford,year -491 in the 7th month,1,The 2nd year after Topsy-Turvy Times,year -451 in the 7th month,Great Hall: bottom shelve. 15m from the start,Free game defense official.
Improbable Odyssey of the Patrician,Professor Samuel Hamilton,,,8,The 10th year after Fruitbat,year 0147 in the 7th month,Restricted Section: bottom shelve. 3m from the end,Pattern arrive evidence whatever involve have month.
Mysterious Odyssey of the Golems,Imperial Assassin Joanna Adams,,,5,The 13th year after Hedgehog,year 0123 in the 3rd month,Dungeon Dimensions: bottom shelve. 11m from the start,Religious hand along force music scene.
Unimaginable Fantasy in Ankh-Morpork,Grandmaster of Guilds Jill Webb,,,7,The 10th year after Bursar's Sanity,year -204 in the 7th month,Restricted Section: bottom shelve. 2m from the start,Organization if yeah to herself however water.
Comical Lore of the Hogfather,Jim Wheeler,Samantha Collier,year -497 in the 9th month,0,The 7th year after Assassin's Guild,year -470 in the 7th month,Dungeon Dimensions: middle shelve. 14m from the start,Operation history spend could perform toward street sometimes.
Unimaginable Chronicle of the City Watch,Mike Smith,Chelsea Chavez,year 0373 in the 7th month,0,The 10th year after Librarian's Wrath,year 0886 in the 9th month,Great Hall: top shelve. 4m from the end,Movie wait yes likely civil would enjoy.
Bewitching Adventure of the Golems,Principal Witch Danielle Wilson,Bonnie Trujillo,year -474 in the 12th month,4,The 6th year after Librarian's Wrath,year 0288 in the 2nd month,Great Hall: bottom shelve. 8m from the end,Hotel any tend build cover science.
Unbelievable Exploit of the City Watch,Principal Witch Denise Faulkner,,,9,The 3rd year after Opera House Ghost,year 0400 in the 6th month,Tower of Art: bottom shelve. 14m from the start,Term compare ten face consider.
Ridiculous Adventure of the Rincewind,Professor Gregory Walker,Brady Shepard,year 0552 in the 2nd month,1,The 8th year after Lancre Coven,year 0685 in the 7th month,Mended Drum: middle shelve. 13m from the start,Role well sister site tree institution represent.
